The seminar leader was well prepared,The seminar leader gave interesting and informative classes,The seminar leader explained the subject clearly,The seminar leader was effective in leading the class or seminar,The seminar leader is receptive to students' questions,The seminar leader stimulates interest in the subject,The seminar leader stimulates discussion on the subject,The seminar leader stimulates me to think and learn,The seminar leader has a good rapport with the class,The seminar leader is available to answer questions during office hours,What have been the positive features of this module up to this point?,Were there any negative features of this module up to this point? What aspects of the module might be improved?,Any other comments
5,5,5,5,5,4,5,5,5,,"- Stimulates intellectual curiosity 
- Good thinking practice ",N/a,Nope 
4,5,5,3,5,5,4,5,4,5,The module is a good way to rethink thinking (AKC!) and atleast reconsider the manner in which one communicates or engages in discourse. ,"Gentzen natural deduction is difficult, and we should do Fitch instead. There should be an extra week dedicated to Nat. Ded.","Hugo is a great teacher but is overly charitable to students who ask obvious, unneeded question. The class would be more effectively led if the advice given to some students was ""This has already been covered, refer to the lecture slides or come to office hours if you still have an issue"""
5,5,5,5,5,5,5,5,4,3,This module has been extremely interesting. I have learnt a lot from it. It's been intellectually stimulating. I have really enjoyed studying Logic. I am now considering studying Logic in the future as a result of this module. I wasn't expecting to enjoy Logic so much! These seminars have been well-taught. Hugo has been very good at explaining very complicated topics in an comprehensible manner.,,
5,5,5,5,5,5,3,5,5,5,,,
5,5,5,5,5,5,5,5,5,5,"The teacher is conscientious and responsible, and carefully corrects my assignments.",No.,No 
5,5,5,5,5,5,5,5,5,5,,,
5,5,5,5,5,5,3,5,5,,"Very interesting, seminar leader shows impeccable reasoning and understanding of the subject","Material in week 4 “natural deduction” significantly more difficult than the rest of the course, potentially focus more on this part of the course.",
5,5,5,5,5,5,5,5,5,3,It helped me thinking and reasoning more deeply about language and sparked in me an interest in Logic.,Maybe more lessons focused on difficult topics like Natural deduction.,
4,4,4,5,5,4,3,4,4,5,,,
4,4,4,4,5,3,3,3,5,,,,
5,5,4,4,5,5,5,5,5,,it was nice to have logic classes in philosophy,,
5,4,4,5,3,4,,5,5,5,The content has been explained well to me. I like the weekly online exercises and think they have helped a lot and have provided good explanations for incorrect answers. I also appreciate the past papers and online materials which not many other modules have.,"This isn’t related to seminars but at times the lecture is really hard to comprehend when the content itself is not that difficult. I think some of the content, and especially the examples provided during the lecture, could be communicated in a more concise manner.",Often times people are talking and coughing in the lecture hall and it’s really hard to understand what’s being said but I think this isn’t an issue native to the module itself.
5,4,5,4,5,4,4,4,4,5,"Hugo is excellent, and clearly always tries his hardest, to make sure that students understand the material, and that they feel more informed after having their questions answered. ","The negative features revolve around the difficultly to intuit the material, not anything that Hugo has done. ",
4,4,4,3,4,5,5,5,4,5,hugo is very good at explaining the concepts in an easy to grasp way and always has time to listen in office hours. he also continually highlights that it is a safe space to say if you don’t understand without being made to feel stupid. ,giving too much time to unrelated questions (ones that aren’t related at all to what we are doing) instead of directing them to office hours resulting in less time to go over logic. ,
4,5,5,5,5,5,5,5,5,5,,,
4,4,2,5,5,3,3,4,,,"Questions are answered in detail and without judgement. Also really like solving questions visually, on the board - everything gets broken down really well",Not anything specific that I can think of related to the module (I just don’t like logic),
5,4,4,5,4,,,4,4,5,,,
5,5,5,5,5,5,5,5,5,,,,
5,5,5,5,5,5,5,5,5,5,Communication an ability to ban a deeper understanding ,N/a,
4,4,3,5,4,,4,4,4,4,I’d say that the overall knowledge portion of the module is quite interesting and maintains a constant level of overall difficulty which maintains engagement.,"Nothing really, sometimes the course load/course progression i.e how fast the module goes from topic to topic can be slightly overwhelming. However, this is the nature of uni in general and has very little to do with the seminar instructor who is very clear in his delivery and tries his best to ensure overall student understanding. ",n/a
5,5,5,5,5,5,5,5,5,5,Hugo has gone through each topic very carefully and is able to answer questions to good affect.,Spending more time on the more difficult topic ,Hugo runs the seminar very well and teaches the content clearly and has helped me understand it 
5,5,5,5,4,4,3,4,5,5,,,
5,5,5,5,5,5,5,5,5,,,,
5,5,5,5,5,5,5,5,5,5,Very engaging and well-explained especially during difficult topics.,,
5,5,5,5,5,5,5,5,5,5,Very good academical and teaching skills.,None. Perfect ,
5,5,5,5,5,5,5,5,5,5,I have been able to learn something new and feel mostly comfortable with the topics covered even though I did not have any prior knowledge of the topics. The seminars are helpful to consolidate my learning.,I felt like there were some topics that were rushed and I found it difficult to catch up sometimes. ,
5,5,5,5,5,5,3,4,5,4,I've found the seminars really useful in terms of consolidating the lecture material and clarifying any questions.,I think the natural deducation week should be two weeks just because it's a hard topic so I think two weeks would mean that it isn't rushed as much.,The seminars have generally been really useful and a good environment.
4,4,3,4,4,3,4,3,4,4,,,
5,5,5,5,5,5,5,5,5,5,"Very meaningful seminars, well explained and helpful and incredibly well prepared ",slight miscommunication between seminar leader and lecturer. Not really the fault of Hugo though. ,
4,5,5,5,5,,,5,4,5,,,
5,5,5,4,5,3,4,4,5,5,,,
5,4,5,4,5,5,4,3,5,3,"The class discussions have been engaging, and the teacher is very interested in what he's doing. ","The module in general has been very hard for me personally, but the teacher has made it a bit easier for me in understanding the topic. ",Nope - recommend Mr Heagren for anyone and everyone interested in logic!
